i_id;ccode;cexch_name;cdept_id;cperson_id;ccus_id;csup_id;citem_class;citem_id;iperiod;cbegind_c;cbegind_c_engl;mb;md;mc;cendd_c;cendd_c_engl;me;mb_f;md_f;mc_f;me_f;nb_s;nd_s;nc_s;ne_s
1;40010101       ;        ;00601       ;        ;                    ;            ;  ;                    ;1;平 ;- ;0.0;0.0;204675.0;贷 ;Cr;204675.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0
2;40010101       ;        ;00601       ;        ;                    ;            ;  ;                    ;2;贷 ;Cr;204675.0;0.0;204675.0;贷 ;Cr;409350.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0
3;40010101       ;        ;00601       ;        ;                    ;            ;  ;                    ;3;贷 ;Cr;409350.0;0.0;204675.0;贷 ;Cr;614025.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0
4;40010101       ;        ;00601       ;        ;                    ;            ;  ;                    ;4;贷 ;Cr;614025.0;0.0;362949.0;贷 ;Cr;976974.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0
5;40010101       ;        ;00601       ;        ;                    ;            ;  ;                    ;5;贷 ;Cr;976974.0;0.0;211442.0;贷 ;Cr;1188416.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0
6;40010101       ;        ;00601       ;        ;                    ;            ;  ;                    ;6;贷 ;Cr;1188416.0;0.0;0.0;贷 ;Cr;1188416.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;40010101       ;        ;00601       ;        ;                    ;            ;  ;                    ;7;贷 ;Cr;1188416.0;0.0;0.0;贷 ;Cr;1188416.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;40010101       ;        ;00601       ;        ;                    ;            ;  ;                    ;8;贷 ;Cr;1188416.0;0.0;0.0;贷 ;Cr;1188416.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;40010101       ;        ;00601       ;        ;                    ;            ;  ;                    ;9;贷 ;Cr;1188416.0;0.0;0.0;贷 ;Cr;1188416.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;40010101       ;        ;00601       ;        ;                    ;            ;  ;                    ;10;贷 ;Cr;1188416.0;0.0;0.0;贷 ;Cr;1188416.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
